employee_id,first_name,last_name,gender,date_of_birth,email,phone_no,hire_date,department_id,job_id,salary,manager_id,status
1051,Karen,Jenkins,M,1994-02-23,karen.jenkins@company.com,7702082196,2019-04-10,104,20,65000,1044,active
1052,Stephanie,Cochran,M,1997-08-07,stephanie.cochran@company.com,7447380339,2015-10-15,104,20,63000,1045,active
1053,Kimberly,Sutton,F,1975-04-25,kimberly.sutton@company.com,7799472457,2013-11-26,105,21,161000,,active
1054,Cynthia,Murphy,F,1978-03-03,cynthia.murphy@company.com,6028052445,2023-05-16,105,22,129000,1053,active
1055,Michelle,Cole,F,1983-05-06,michelle.cole@company.com,6721487642,2010-05-22,105,23,85000,1053,active
1056,Kayla,Jordan,M,1999-03-18,kayla.jordan@company.com,6944460823,2018-11-30,105,24,75000,1054,active
1057,Roy,Gillespie,M,1991-08-07,roy.gillespie@company.com,7874984353,2019-12-30,105,24,87000,1055,active
1058,Valerie,Larsen,M,1989-12-24,valerie.larsen@company.com,7563439582,2019-02-04,105,24,41000,1055,active
1059,Russell,Osborne,F,1999-05-29,russell.osborne@company.com,6894633643,2023-05-23,105,24,45000,1055,active
1060,Marcus,Hogan,F,1992-08-22,marcus.hogan@company.com,6815768108,2021-04-27,105,25,83000,1054,active
1061,Steven,Johnson,M,2002-03-15,steven.johnson@company.com,7248595975,2020-09-08,105,25,70000,1054,active
1062,Heather,Sanchez,M,1996-12-19,heather.sanchez@company.com,6326087849,2020-03-01,105,25,66000,1055,on leave
1063,Anna,Copeland,F,1993-10-10,anna.copeland@company.com,6863724641,2025-01-04,105,25,81000,1055,active
1064,Bailey,Osborne,F,1994-09-17,bailey.osborne@company.com,7442149565,2023-05-07,105,25,41000,1055,active
1065,Carol,Orr,M,1981-03-26,carol.orr@company.com,7561600022,2017-08-21,106,26,121000,,active
1066,Joseph,Shea,F,1969-04-22,joseph.shea@company.com,6599716516,2012-05-13,106,27,130000,1065,active
1067,Elizabeth,Gibson,M,1975-03-31,elizabeth.gibson@company.com,6823792932,2021-06-09,106,28,112000,1065,active
1068,Joshua,Knight,F,1993-02-22,joshua.knight@company.com,6331119611,2022-09-22,106,29,80000,1067,active
1069,Sharon,Andrews,F,1991-11-20,sharon.andrews@company.com,6956779351,2017-09-21,106,29,71000,1067,active
1070,Mark,Woodward,M,2001-01-24,mark.woodward@company.com,7579021882,2023-02-16,106,29,74000,1066,active
1071,Rhonda,Travis,F,1996-07-06,rhonda.travis@company.com,7536344232,2020-03-07,106,30,62000,1066,active
1072,Kristin,Chapman,M,2000-08-05,kristin.chapman@company.com,7506568991,2022-05-08,106,30,75000,1066,active
1073,Ann,Thomas,F,2003-01-01,ann.thomas@company.com,7818014510,2018-09-01,106,30,64000,1066,active
1074,Sandra,Moore,F,1994-12-29,sandra.moore@company.com,6738961210,2021-03-25,106,30,82000,1066,active
1075,Felicia,Miller,M,1980-12-12,felicia.miller@company.com,6851097995,2012-09-19,107,31,159000,,active
1076,Keith,White,M,1983-10-16,keith.white@company.com,7640048639,2014-06-11,107,32,90000,1075,active
1077,Clinton,Sparks,M,1992-09-19,clinton.sparks@company.com,7459116985,2025-01-03,107,33,92000,1075,active
1078,Luis,Smith,M,1992-04-30,luis.smith@company.com,6775438284,2018-09-17,107,34,64000,1077,active
1079,Amber,Morris,M,1993-06-07,amber.morris@company.com,6379050595,2019-11-01,107,34,79000,1077,active
1080,Sharon,Woods,M,2001-08-30,sharon.woods@company.com,6207174795,2022-06-28,107,34,64000,1076,active
1081,Jose,Brooks,F,2001-05-22,jose.brooks@company.com,6259746069,2020-09-30,107,34,58000,1077,active
1082,Robert,Powell,M,1999-05-02,robert.powell@company.com,6483311616,2018-11-03,107,35,68000,1077,active
1083,Mason,Fernandez,F,1997-04-08,mason.fernandez@company.com,7860783578,2016-08-22,107,35,59000,1076,active
1084,John,Dalton,M,1994-03-18,john.dalton@company.com,6750457347,2022-12-01,107,35,41000,1077,active
1085,Edwin,Green,F,1991-03-23,edwin.green@company.com,7861706184,2016-02-06,107,35,52000,1076,active
1086,Oscar,Rice,F,1997-03-27,oscar.rice@company.com,7586770366,2022-03-28,107,35,86000,1077,active
1087,Danielle,Ramsey,F,1996-03-11,danielle.ramsey@company.com,6468145673,2017-07-12,107,35,62000,1077,active
1088,Michelle,Diaz,M,1968-05-12,michelle.diaz@company.com,7672482931,2018-07-04,108,36,179000,,active
1089,Matthew,Todd,M,1994-10-04,matthew.todd@company.com,6962416927,2020-10-26,108,37,110000,1088,active
1090,Christie,King,F,1993-07-14,christie.king@company.com,6696802682,2018-01-30,108,38,122000,1088,active
1091,Jessica,Carter,F,1998-01-25,jessica.carter@company.com,7902920652,2025-01-23,108,39,45000,1089,active
1092,Sheila,Moyer,F,2002-12-03,sheila.moyer@company.com,7033400284,2015-09-13,108,39,66000,1089,active
1093,Alexa,Lee,M,1990-10-04,alexa.lee@company.com,7648284390,2021-11-15,108,39,51000,1090,active
1094,Shawn,Henry,F,1989-02-24,shawn.henry@company.com,6536227525,2019-08-19,108,40,57000,1090,active
1095,Glenn,Herrera,F,2001-10-31,glenn.herrera@company.com,6026380033,2023-10-20,108,40,63000,1089,on leave
1096,Cynthia,Nichols,F,1989-04-27,cynthia.nichols@company.com,6345164825,2018-07-13,108,40,40000,1089,active
1097,Tracy,Nguyen,M,1990-07-09,tracy.nguyen@company.com,6157035260,2023-05-14,108,40,55000,1089,active
1098,Richard,Lynn,M,1993-11-14,richard.lynn@company.com,6402770395,2021-02-22,108,40,73000,1089,active
1099,Kelsey,Mendez,M,1990-06-01,kelsey.mendez@company.com,6323137049,2022-08-08,108,40,61000,1090,active
